intent,text,response
selamlama,Günaydın ,"Merhaba, ben Hukuki Yardım Botu. Size nasıl yardımcı olabilirim?"
selamlama,İyi Akşamlar,"İyi akşamlar, ben Hukuki Yardım Botu. Size nasıl yardımcı olabilirim?"
selamlama,İyi Geceler,"İyi geceler, ben Hukuki Yardım Botu. Size nasıl yardımcı olabilirim?"
selamlama,Selamun Aleykum,"Aleykum Selam, ben Hukuki Yardım Botu. Size nasıl yardımcı olabilirim?"
depozito_iadesi,Kira Sözleşmesinde Depozito Hükmü Yoksa Depozito İadesi Talep Edilebilir mi? ,"Kira sözleşmesinde depozito ile ilgili açık bir hüküm bulunmasa bile, kiracının kiraya verene bir güvence bedeli ödediğini ispatlaması halinde bu bedelin iadesini talep etme hakkı saklıdır. Bu durum genellikle banka dekontları, makbuzlar veya yazılı yazışmalar gibi belgelerle kanıtlanabilir. Türk Borçlar Kanunu'nda güvence bedeli alınması zorunlu tutulmamıştır; ancak alındığında belirli kurallara tabidir. "
depozito_iadesi,Depozito Hangi Hallerde Kiraya Veren Tarafından Tek Taraflı Olarak Kullanılamaz? ,"Türk Borçlar Kanunu'nun 330. maddesi, konut ve çatılı işyeri kira sözleşmelerinde depozitonun bankaya yatırılmasını ve kiracının onayı olmaksızın çekilememesini veya kiraya verenin onayı olmaksızın iade edilememesini hükme bağlar. Bu, depozitonun tek taraflı ve keyfi olarak kullanılmasını engeller. Kiraya veren, depozitoyu ancak kiracının sözleşmeden doğan borçlarını yerine getirmemesi (kira borcu, hasar vb.) durumunda, bu borçların tespiti ve belgelendirilmesi suretiyle kullanabilir. Aksi takdirde, depozito üzerindeki tasarruf yetkisi sınırlıdır."
depozito_iadesi,Kiralananın Tahliyesinden Sonra Depozitonun İadesi İçin Belirli Bir Süre Var mıdır ve Bu Süreye Uyulmazsa Ne Olur? ,"Türk Borçlar Kanunu'nda depozitonun iadesi için kesin bir süre belirtilmemiştir. Ancak uygulamada ve Yargıtay kararlarında ""makul süre"" kavramı kullanılır. Bu süre genellikle mülkün teslim alındıktan sonra olası hasarların tespiti ve kiracının borçlarının belirlenmesi için gerekli olan birkaç günü veya haftayı (genellikle 15-30 gün) kapsar. Eğer bu makul süre içinde depozito iade edilmezse, kiraya veren temerrüde düşmüş sayılır. Bu durumda, kiracı yasal faiz talebinde bulunma hakkına sahip olur. "
depozito_iadesi,Depozito İadesinde Kiralanandaki Normal Aşınma ve Yıpranma Hasar Sayılır mı? ,"Hayır, kiralananda zamanla meydana gelen ve normal kullanımdan kaynaklanan aşınma ve yıpranmalar hasar olarak kabul edilmez ve depozitodan kesinti yapılamaz. Örneğin, duvar boyasındaki hafif solmalar, zemin kaplamasındaki doğal yıpranmalar bu kategoriye girer. Depozito, kiracının kusurundan kaynaklanan ve normal kullanımın ötesinde olan zararları (örneğin, kırık cam, duvarda büyük bir delik vb.) karşılamak içindir. Bu ayrımın tespiti genellikle bilirkişi incelemesi veya tahliye sırasında tutulan tespit tutanakları ile yapılır. "
depozito_iadesi,Depozito İadesi Davası Nerede Açılır ve Hangi Belgeler Gereklidir? ,"Konut ve çatılı işyeri kiralarına ilişkin depozito iadesi davaları Sulh Hukuk Mahkemelerinde açılır. Ticari işletme kiralarına ilişkin davalar ise genellikle Asliye Hukuk Mahkemeleri'nde görülür. Dava açılırken gerekli başlıca belgeler şunlardır: 
Kira sözleşmesi Depozito ödeme dekontu/makbuzu İhtarname  Tahliye tutanağı  Varsa hasar tespit tutanakları veya fotoğraflar
"
isten_cikarma,"İşveren, çalışanı hangi geçerli sebeplerle işten çıkarabilir? ","İşveren, işçiyi belirli geçerli sebeplerin varlığı halinde işten çıkarabilir. Bu sebepler 4857 sayılı İş Kanunu'nda belirtilmiştir ve başlıca iki ana başlık altında toplanır:
İşçinin Yetersizliğinden veya Davranışlarından Kaynaklanan Geçerli Sebepler: İşçinin işini iyi yapmaması, performans düşüklüğü, sık sık hastalanması (işyerinde devamsızlığa yol açan), iş disiplinine aykırı davranışları (iş saatlerinde izinsiz telefon kullanımı, iş arkadaşlarıyla tartışma), işyerinin düzenini bozucu hareketler gibi durumlar.
İşletmenin, İşyerinin veya İşin Gereklerinden Kaynaklanan Geçerli Sebepler: Teknolojik gelişmeler nedeniyle pozisyonun ortadan kalkması, ekonomik krizler, yeniden yapılanma, küçülme kararları gibi durumlar. Bu hallerde işçinin kendisinden kaynaklı bir kusur olmasa da iş ilişkisi sona erebilir."
isten_cikarma,İşten çıkarılan bir işçi işe iade davası açabilir mi? Şartları nelerdir? ,"Evet, işten çıkarılan bir işçi belirli şartlar altında işe iade davası açabilir. Bu davanın temel amacı, feshin geçersizliğinin tespiti ve işçinin işine geri dönmesini sağlamaktır. Şartları şunlardır:İşyerinde en az 30 veya daha fazla işçi çalışıyor olmalı (belirli istisnalar dışında).İşçinin en az 6 aylık kıdemi bulunmalı (yer altı işlerinde çalışanlar için kıdem şartı aranmaz).İş sözleşmesi belirsiz süreli olmalı.İşverenin feshi, kanunda belirtilen geçerli bir nedene dayanmamalıdır.İşçi, fesih bildiriminin tebliğinden itibaren 1 ay içinde Arabuluculuk'a başvurmalı, anlaşma sağlanamazsa 2 hafta içinde işe iade davası açmalıdır."
isten_cikarma,İşten çıkarılma durumunda çalışanın alabileceği tazminatlar nelerdir? ,"İşten çıkarılan bir işçinin, feshin türüne ve şartlarına göre alabileceği çeşitli tazminatlar bulunur:
Kıdem Tazminatı: İş sözleşmesi belirli hallerde (işveren feshi, haklı nedenle işçi feshi, emeklilik vb.) sona erdiğinde, işçinin her tam çalışma yılı için son brüt ücreti üzerinden hesaplanan tazminattır. En az 1 yıl kıdemi olan işçiye ödenir.
İhbar Tazminatı: İşveren, işçiyi işten çıkarırken veya işçi haklı bir neden olmaksızın istifa ederken, kanunda belirtilen ihbar sürelerine uymak zorundadır. Bu sürelere uyulmaması halinde ödenen tazminattır.
Kötü Niyet Tazminatı: İş güvencesi hükümlerinin uygulanmadığı işyerlerinde, işverenin fesih hakkını kötüye kullanarak iş sözleşmesini sona erdirmesi halinde ödenen tazminattır. İhbar süresinin üç katı tutarından az olamaz.
Sendikal Tazminat: İşverenin, sendika üyeliği veya sendikal faaliyetler nedeniyle iş sözleşmesini feshetmesi durumunda ödenen tazminattır.
Eşit Davranmama Tazminatı: İşverenin, eşit davranma ilkesine aykırı davranarak iş sözleşmesini feshetmesi durumunda ödenen tazminattır."
isten_cikarma,İşten çıkarma bildirimi nasıl yapılmalıdır ve şekil şartları var mıdır? ,"İşveren tarafından yapılacak işten çıkarma (fesih) bildiriminin yazılı yapılması ve fesih nedeninin açıkça belirtilmesi yasal bir zorunluluktur. Fesih bildiriminde, feshin hangi sebebe dayandığı ve hukuki dayanağı net bir şekilde ifade edilmelidir. Yazılı bildirim, feshin ispatı ve işçinin hak arama yollarını kullanabilmesi açısından büyük önem taşır. "
isten_cikarma,İşten çıkarma öncesi işçinin savunmasının alınması zorunlu mudur? ,"Evet, iş sözleşmesinin işçinin davranışından veya performansından kaynaklanan geçerli bir nedenle feshedilmesi durumunda, işverenin fesih bildiriminden önce işçinin savunmasını alması zorunludur. İşçiye savunma için uygun bir süre verilmeli ve kendisini ifade etme fırsatı tanınmalıdır. Savunma hakkı tanınmadan yapılan fesihler genellikle geçersiz kabul edilir ve işe iade davasında işçinin lehine sonuçlanabilir. Ancak, İş Kanunu'nun 25. maddesindeki haklı fesih nedenlerinde (ahlak ve iyi niyet kurallarına aykırılık gibi hallerde) savunma alınması zorunlu değildir. "
isten_cikarma,İş sözleşmesi feshedildikten sonra çalışanın alacakları ne zaman ödenmelidir? ,"İş sözleşmesi herhangi bir nedenle sona erdiğinde, işçinin tüm hakları (ücret, fazla mesai, yıllık izin ücreti, tazminatlar vb.) en geç iş sözleşmesinin sona erdiği tarihte ödenmek zorundadır. Banka aracılığıyla yapılan ödemelerde, paranın işçinin hesabına geçmesi esas alınır. Eğer bu alacaklar süresinde ödenmezse, işverenin temerrüde düştüğü kabul edilir ve ödenmeyen alacaklara yasal faiz işletilir. "
bosanma_bilgi,Boşanma Davası Türleri Nelerdir? ,"Boşanma davaları iki ana başlık altında toplanır:
Anlaşmalı Boşanma: Eşlerin boşanmanın tüm sonuçları (nafaka, velayet, mal paylaşımı gibi) üzerinde anlaştıkları ve bu anlaşmayı bir protokol ile mahkemeye sundukları dava türüdür.
Çekişmeli Boşanma: Eşlerin boşanma veya boşanmanın fer'ileri (nafaka, velayet, tazminat) konularında anlaşamadıkları ve mahkemenin karar vermesini gerektiren dava türüdür."
bosanma_bilgi,Anlaşmalı Boşanma İçin Gerekli Şartlar Nelerdir? ,"Anlaşmalı boşanma davasının açılabilmesi için belirli şartlar aranır:
Evliliğin en az bir yıl sürmüş olması.
Eşlerin boşanma konusunda ortak rızaya sahip olması.
Tarafların boşanmanın maddi ve manevi tüm sonuçları (nafaka, velayet, tazminat, mal paylaşımı gibi) üzerinde anlaşması ve bu anlaşmayı yazılı bir protokolle mahkemeye sunması.
Hakimin, tarafları bizzat dinleyerek anlaşmanın serbest iradeye dayandığına ve menfaatlerine uygun olduğuna kanaat getirmesi."
bosanma_bilgi,Çekişmeli Boşanma Sebepleri Nelerdir? ,"Çekişmeli boşanma davaları, kanunda sayılan belirli boşanma sebeplerine dayanır. Bunlar genel ve özel boşanma sebepleri olarak ikiye ayrılır:
Özel Boşanma Sebepleri: Zina, hayata kast, pek kötü veya onur kırıcı davranış, suç işleme ve haysiyetsiz hayat sürme, terk, akıl hastalığı.
Genel Boşanma Sebebi: Evlilik birliğinin temelden sarsılması (şiddetli geçimsizlik). Bu sebep, ortak hayatın sürdürülmesinin eşler için çekilmez hale gelmesi durumunda uygulanır.
"
bosanma_bilgi,Boşanma Davasında Nafaka Türleri Nelerdir? ,"Boşanma davalarında talep edilebilecek başlıca nafaka türleri şunlardır:
Tedbir Nafakası: Dava süresince eş ve/veya çocuklar için hükmedilen nafakadır.
Yoksulluk Nafakası: Boşanma nedeniyle yoksulluğa düşecek olan tarafa, diğer tarafın mali gücü oranında ödenen nafakadır.
İştirak Nafakası: Ortak çocukların eğitim, sağlık, barınma gibi giderlerine velayet kendisinde olmayan eşin katkıda bulunması için ödenen nafakadır.
"
bosanma_bilgi,Velayet Kime Verilir ve Neye Göre Belirlenir? ,"Boşanma durumunda çocuğun velayeti, hakimin çocuğun üstün yararını gözeterek verdiği bir karardır. Velayet belirlenirken şu faktörler dikkate alınır:
Çocuğun yaşı ve gelişim durumu.
Ebeveynlerin çocukla ilişkileri ve çocuğa bakma kapasiteleri.
Çocuğun fiziksel ve ruhsal sağlığı üzerindeki etkiler.
Çocuğun kendi görüşü (yeterli olgunluktaki çocuklar için).
Ebeveynlerin yaşam koşulları ve ekonomik durumları.
"
bosanma_bilgi,Boşanmada Maddi ve Manevi Tazminat Talep Edilebilir mi? ,"Evet, boşanmaya neden olan olaylarda kusurlu olan veya daha ağır kusurlu olan taraftan, diğer taraf maddi ve/veya manevi tazminat talep edebilir:
Maddi Tazminat: Boşanma yüzünden mevcut veya beklenen menfaatleri zedelenen kusursuz veya daha az kusurlu tarafın uğradığı maddi kayıpları karşılamak üzere ödenir.
Manevi Tazminat: Boşanma nedeniyle kişilik hakları saldırıya uğrayan tarafın yaşadığı elem, üzüntü ve yıpranma karşılığında ödenen tazminattır.
"
bosanma_bilgi,Boşanma Davası Ne Kadar Sürer? ,"Boşanma davalarının süresi, davanın türüne ve yoğunluğuna göre değişir:
Anlaşmalı Boşanma Davaları: Genellikle tek celsede sonuçlanır ve birkaç hafta ile birkaç ay arasında sürebilir (mahkemelerin yoğunluğuna bağlı olarak).
Çekişmeli Boşanma Davaları: Tanık dinleme, bilirkişi incelemesi, delil toplama gibi süreçler nedeniyle daha uzun sürer. Ortalama 1 ila 3 yıl arasında değişebilir, istinaf ve temyiz süreçleriyle bu süre daha da uzayabilir.
Kaynak: Türk Hukuk Sisteminin genel işleyişi ve mahkeme istatistikleri (Kanunda dava sürelerine ilişkin kesin bir madde bulunmamaktadır).
"
velayet_hakki,Velayet Nedir ve Kapsamı Nelerdir? ,"Velayet, ergin olmayan çocukların (küçüklerin) şahısları ve malları üzerinde anne ve babaya tanınan yasal hak, yetki ve ödevlerin tümüdür. Bu hak, çocuğun eğitiminden sağlığına, nerede yaşayacağından geleceğine dair kararlara kadar geniş bir alanı kapsar. Velayet, aynı zamanda çocuğun mallarını yönetme ve onu yasal temsil etme yetkisini de içerir.
Kaynak: Türk Medeni Kanunu (TMK) m. 335.
"
velayet_hakki,Evlilik Devam Ederken Velayet Kime Aittir? ,"Evlilik birliği devam ettiği sürece velayet, anne ve baba tarafından ortaklaşa kullanılır. Yani, çocukla ilgili tüm önemli kararlar, anne ve babanın birlikte alması gereken kararlardır. Her iki ebeveyn de çocuğun bakım, eğitim ve korunmasından eşit derecede sorumludur.
Kaynak: Türk Medeni Kanunu (TMK) m. 336/1.
"
velayet_hakki,Boşanma Durumunda Velayet Kime Verilir ve Belirlenmesinde Temel İlke Nedir? ,"Boşanma durumunda velayet, hakim tarafından çocuğun üstün yararı ilkesi gözetilerek bir tarafa verilir. Bu, velayet kararının çocuğun fiziksel, ruhsal, ahlaki ve sosyal gelişimini en iyi şekilde sağlayacak ebeveyne verilmesi gerektiği anlamına gelir. Hakimin takdir yetkisi oldukça geniştir ve kararda çocuğun menfaati her şeyden önce gelir.
Kaynak: Türk Medeni Kanunu (TMK) m. 336/2, 337, 338.
"
velayet_hakki,Velayetin Değiştirilmesi Talep Edilebilir mi ve Şartları Nelerdir? ,"Evet, velayet kararı kesinleştikten sonra dahi, velayet kendisine verilmeyen taraf veya Cumhuriyet Savcısı, koşulların değiştiği gerekçesiyle velayetin değiştirilmesini talep edebilir. Velayet değişikliği için temel şart, mevcut velayet düzenlemesinin çocuğun üstün yararına aykırı hale geldiğinin ispatlanmasıdır. Örneğin, velayeti alan tarafın çocuğa kötü muamele etmesi, eğitimini aksatması, ağır hastalık geçirmesi gibi durumlar sebep olabilir.
Kaynak: Türk Medeni Kanunu (TMK) m. 349.
"
velayet_hakki,Velayeti Olmayan Ebeveynin Çocukla Kişisel İlişki Kurma Hakkı Var mıdır? ,"Evet, boşanma sonrasında velayet kendisine verilmeyen ebeveynin, çocuğuyla kişisel ilişki kurma hakkı (görüşme hakkı) vardır. Hakim, çocuğun üstün yararını gözeterek bu kişisel ilişkinin şeklini (görüşme günleri, yatılı kalma süreleri vb.) belirler. Bu hak, çocuğun anne veya babasından ayrı kalmasının getireceği olumsuzlukları en aza indirmeyi amaçlar.
Kaynak: Türk Medeni Kanunu (TMK) m. 323.
"
velayet_hakki,Velayetin Kötüye Kullanılması Durumunda Ne Olur? ,"Velayet hakkı, çocuğun menfaatine aykırı olarak kullanılıyorsa veya velayet görevleri ağır şekilde ihmal ediliyorsa, hakim duruma müdahale edebilir. Bu durumda hakim, velayetin değiştirilmesine veya duruma göre çocuğun bir kuruma yerleştirilmesine karar verebilir. Aşırı durumlarda velayetin kaldırılması da mümkündür.
Kaynak: Türk Medeni Kanunu (TMK) m. 348.
"
velayet_hakki,Hangi Durumlarda Velayet Kaldırılabilir? ,"Velayet, sadece olağanüstü durumlarda ve çocuğun menfaati gerektirdiğinde kaldırılabilir. Başlıca nedenler şunlardır:
Anne ve babanın velayet görevini ağır şekilde ihmal etmesi.
Anne ve babanın çocuğa karşı sorumluluklarını yerine getirememesi (örneğin, sürekli ve ciddi şekilde çocuğun fiziksel veya psikolojik sağlığına zarar verme).
Anne veya babanın akıl hastalığı, uyuşturucu bağımlılığı gibi velayet görevini yerine getirmesini engelleyen kalıcı bir durumun varlığı.
Çocuğun yüksek yararının, velayetin kaldırılmasını gerektirmesi.
Kaynak: Türk Medeni Kanunu (TMK) m. 348.
"
nafaka,Nafaka Nedir ve Türleri Nelerdir? ,"Nafaka, Türk Medeni Kanunu'na göre, belirli şartlar altında bir kimsenin geçimini sağlamak amacıyla diğer bir kimseden maddi yardım almasıdır. Nafakanın başlıca hukuki türleri şunlardır:
Tedbir Nafakası: Boşanma davası devam ederken eşlerden birinin ve/veya ortak çocukların geçimi için hükmedilen geçici nafakadır.
Yoksulluk Nafakası: Boşanma sonucunda yoksulluğa düşecek olan tarafa, kusuru daha ağır olmamak kaydıyla diğer tarafın mali gücü oranında ödenen süresiz veya süreli nafakadır.
İştirak Nafakası: Boşanma sonrası velayeti kendisinde bulunmayan eşin, ortak çocuğun bakım, eğitim ve diğer giderlerine katılmak amacıyla ödediği nafakadır.
Yardım Nafakası: Altsoy, üstsoy veya kardeşlerin, kanunda belirtilen şartlar altında birbirlerine ödemek zorunda oldukları nafakadır. Bu nafaka türü boşanmadan bağımsız olarak da talep edilebilir.
Kaynak: Türk Medeni Kanunu (TMK) m. 169 (Tedbir), m. 175 (Yoksulluk), m. 182 (İştirak), m. 364 (Yardım Nafakası).
"
nafaka,Yoksulluk Nafakası Talep Etmenin Şartları Nelerdir? ,"Yoksulluk nafakası talep edebilmek için şu şartların birlikte bulunması gerekir:
Boşanma kararı kesinleşmiş olmalı.
Nafaka talep eden taraf boşanma yüzünden yoksulluğa düşecek olmalı. (Yoksulluk, kişinin yaşam standartlarını sürdürecek yeterli gelir ve malvarlığına sahip olmamasıdır.)
Nafaka ödeyecek tarafın kusuru daha ağır olmamalı veya kusursuz olmalı. (Nafaka talep edenin kusuru, diğer taraftan daha ağır olmamalıdır.)
Nafaka ödeyecek tarafın mali gücünün yerinde olması.
Kaynak: Türk Medeni Kanunu (TMK) m. 175.
"
nafaka,İştirak Nafakası Neden Ödenir ve Kimlere Verilir? ,"İştirak nafakası, boşanma sonucu velayet kendisinde bulunmayan ebeveynin, ortak çocuğun eğitim, bakım, sağlık, barınma ve giyim gibi temel ihtiyaçlarına maddi olarak katılımını sağlamak amacıyla ödenir. Bu nafaka, çocuğun menfaatini korumayı amaçlar ve çocuğun ergin (18 yaşını doldurmuş) olana kadar ödenmesi esastır.
Kaynak: Türk Medeni Kanunu (TMK) m. 182.
"
nafaka,Nafaka Miktarı Nasıl Belirlenir ve Neye Göre Artırılır/Azaltılır? ,"Nafaka miktarı belirlenirken tarafların mali durumları, yaşam standartları, kusur oranları ve özellikle çocuğun ihtiyaçları (iştirak nafakası için) göz önünde bulundurulur. Hakim, hakkaniyet ve ihtiyaç dengesini gözeterek bir miktar belirler.
Nafaka miktarı, tarafların ekonomik durumlarında önemli bir değişiklik olması veya çocuğun ihtiyaçlarının artması gibi haklı sebeplerin varlığı halinde dava yoluyla artırılabilir veya azaltılabilir. Ayrıca, her yıl TÜİK'in belirlediği ÜFE oranında artış yapılması da yaygın bir uygulamadır ve mahkeme kararında belirtilebilir.
Kaynak: Türk Medeni Kanunu (TMK) m. 176 (Nafakanın Belirlenmesi ve Değiştirilmesi), m. 331 (İştirak Nafakasının Değiştirilmesi).
"
nafaka,Nafaka Ödenmezse Ne Gibi Yaptırımları Vardır? ,"Nafaka borcunun ödenmemesi durumunda alacaklı taraf, icra takibi başlatabilir. İcra takibine rağmen borç ödenmezse, borçlu hakkında nafaka yükümlülüğünü ihlalden şikayet üzerine 3 aya kadar tazyik hapsi cezası verilebilir. Bu ceza, borç ödeninceye kadar infaz edilir ve hükümlü borcunu ödediğinde serbest bırakılır.
Kaynak: İcra ve İflas Kanunu (İİK) m. 344.
"
nafaka,Yoksulluk Nafakası Hangi Durumlarda Sona Erer? ,"Yoksulluk nafakası, belirli şartların oluşması halinde kendiliğinden veya mahkeme kararıyla sona erer:
Nafaka alan tarafın yeniden evlenmesi.
Nafaka alan tarafın fiilen evli gibi yaşaması (evlilik dışı birliktelik).
Nafaka alan tarafın yoksulluk durumunun ortadan kalkması (örneğin, düzenli bir işe girerek iyi bir gelir elde etmesi).
Nafaka alan veya ödeyen taraftan birinin ölmesi.
Kaynak: Türk Medeni Kanunu (TMK) m. 176/3.
"
nafaka,İştirak Nafakası Hangi Durumlarda Sona Erer? ,"İştirak nafakası da belirli durumlarda sona erer:
Çocuğun ergin (18 yaşını doldurmuş) olması. (Ancak, çocuk ergin olduktan sonra da eğitimine devam ediyorsa, talep üzerine eğitim nafakası olarak devam edebilir.)
Nafaka alan çocuğun evlenmesi.
Çocuğun ölmesi.
Çocuğun velayetinin nafaka ödeyen tarafa geçmesi.
Kaynak: Türk Medeni Kanunu (TMK) m. 328, m. 329.
"
tuketici_iade,Tüketici İadesi Hakkı (Cayma Hakkı) Nedir? ,"Cayma hakkı, tüketicinin satın aldığı mal veya hizmetten herhangi bir gerekçe göstermeksizin ve cezai şart ödemeksizin belirli bir süre içinde vazgeçme hakkıdır. Bu hak, özellikle mesafeli sözleşmelerde (internet, telefon, katalog vb. yoluyla yapılan alışverişler) tüketiciyi korumak amacıyla tanınmıştır.
Kaynak: 6502 sayılı Tüketicinin Korunması Hakkında Kanun (TKHK) m. 48/4 ve Mesafeli Sözleşmeler Yönetmeliği m. 9.
"
tuketici_iade,Tüketici İadesi Hakkı Hangi Süre İçinde Kullanılabilir? ,"Tüketici, cayma hakkını kullanmak için genellikle 14 günlük bir süreye sahiptir. Bu süre:
Mal satışında: Tüketicinin malı teslim aldığı günden itibaren başlar.
Hizmet ifasında: Sözleşmenin kurulduğu tarihten itibaren başlar.
Taksitli satışlarda: Malın veya hizmetin teslim edildiği tarihten itibaren başlar.
Satıcı veya sağlayıcı, tüketicinin cayma hakkı konusunda bilgilendirme yapmazsa, bu süre bir yıla kadar uzayabilir.
Kaynak: Mesafeli Sözleşmeler Yönetmeliği m. 9.
"
tuketici_iade,Hangi Durumlarda Tüketicinin İade Hakkı Yoktur? ,"Tüketici bazı durumlarda cayma hakkını kullanamaz. Bu istisnalar şunlardır:
Fiyatı piyasadaki dalgalanmalara bağlı olarak değişen ürünler (altın, gümüş gibi).
Tüketicinin istekleri veya kişisel ihtiyaçları doğrultusunda hazırlanan özel üretim ürünler.
Çabuk bozulabilen veya son kullanma tarihi geçebilecek ürünler (gıda maddeleri gibi).
Ambalajı açılmış ses veya görüntü kayıtları, yazılım programları ve kitaplar.
Tek kullanımlık ürünler (sim kartı gibi).
Hijyen nedeniyle iadesi uygun olmayan ürünler (iç çamaşırı, kozmetik ürünleri gibi).
Hizmet ifasına başlanmış olan sözleşmeler (belirli bir tarihte veya dönemde yapılan konaklama, eğlence hizmetleri gibi).
Gazete, dergi gibi süreli yayınlar.
Kaynak: Mesafeli Sözleşmeler Yönetmeliği m. 15.
"
tuketici_iade,İade Edilen Ürünün Bedeli Tüketiciye Ne Zaman Geri Ödenir? ,"Satıcı veya sağlayıcı, tüketicinin cayma hakkını kullandığına dair bildirimi aldıktan sonra 14 gün içinde malın bedelini ve varsa teslimat masraflarını tüketiciye geri ödemek zorundadır. Satıcı, malı kendi deposuna ulaşmadan ödemeyi erteleyebilir.
Kaynak: Mesafeli Sözleşmeler Yönetmeliği m. 12.
"
tuketici_iade,İade Edilen Ürünün Kargo Masrafını Kim Karşılar? ,"Cayma hakkı kullanılırken, ürünün satıcıya geri gönderilmesine ilişkin kargo masrafları satıcıya aittir. Ancak, satıcı tüketiciden iade kargosunu belirli bir kargo firmasıyla göndermesini istemiş ve tüketici bu kargo firması dışındaki bir firma ile göndermişse, bu durumda kargo ücreti tüketiciye ait olabilir.
Kaynak: Mesafeli Sözleşmeler Yönetmeliği m. 12.
"
tuketici_iade,Ürünün Arızalı Çıkması Durumunda Tüketicinin Hakları Nelerdir? ,"Ayıplı (arızalı) malın satışında tüketicinin kanundan doğan seçimlik hakları vardır:
Satılanı geri vermeye hazır olduğunu bildirerek sözleşmeden dönme (paranın iadesi).
Satılanı alıkoyup ayıp oranında satış bedelinden indirim isteme.
Aşırı bir masraf gerektirmemesi halinde, tüm masrafları satıcıya ait olmak üzere satılanın ücretsiz onarılmasını isteme.
İmkan varsa, satılanın ayıpsız misli ile değiştirilmesini isteme.
Tüketici bu haklarından birini kullanmakta serbesttir. Satıcı, tüketicinin seçtiği hakkı yerine getirmek zorundadır.
Kaynak: Tüketicinin Korunması Hakkında Kanun (TKHK) m. 11.
"
tuketici_iade,Tüketici İadesi Hakkına İlişkin Bir Anlaşmazlık Durumunda Nereye Başvurulmalıdır? ,"Tüketici iadesi hakkına ilişkin bir anlaşmazlık yaşandığında, tüketicinin başvuru yapabileceği merciler şunlardır:
Tüketici Hakem Heyetleri: Belirli bir parasal değere kadar olan uyuşmazlıklarda (her yıl belirlenen alt ve üst limitler değişir) zorunlu başvuru merciidir.
Tüketici Mahkemeleri: Tüketici Hakem Heyeti sınırını aşan uyuşmazlıklarda doğrudan veya Tüketici Hakem Heyeti kararına itiraz olarak başvurulur.
Kaynak: Tüketicinin Korunması Hakkında Kanun (TKHK) m. 68, 73.
"
